artist_name,release_name,song_name
"Mario Ojeda","Con Voz De Amigos Vol. 2","Resistencia (Yo Vengo De Una Ciudad)"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Que Suerte Tengo"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Por Siempre Joven"
"Mario Ojeda","Con Voz De Amigos Vol. 2",Perdona
"Mario Ojeda","Con Voz De Amigos Vol. 2","No Hace Falta Ser Un Mago"
"Mario Ojeda","Con Voz De Amigos Vol. 2","La Poesía"
"Mario Ojeda","Con Voz De Amigos Vol. 2","La Gracia"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Cada Vez"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Cada Uno Busca"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Busco Una Canción"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Buscando Una Razón"
"Mario Ojeda","Con Voz De Amigos Vol. 2","Ayer Sin Ir Mas Lejos"
"Mario Ojeda","Con Voz De Amigos Vol. 2",Atardecer
"Mario Ojeda","Con Voz De Amigos Vol. 2","Adiós Al Amor"
"Represion 24Horas","Suena a Silencio","Tu Odio Nuestro Alimento"
"Represion 24Horas","Suena a Silencio","Hazlo Tu Mismo"
Chalo,"Y Dale Huevo","Y Dale Huevo"
"Aldemar Villada","No Sufran Tanto","No Sufran Tanto"
"Paco Tapia","Paco Tapia & Kids",Samuel
"Paco Tapia","Paco Tapia & Kids","El Niño Príncipe"
"Paco Tapia","Paco Tapia & Kids","El Mensajero"
"Paco Tapia","Paco Tapia & Kids","Como Moisés"
"Paco Tapia","Paco Tapia & Kids","Conoceremos Al Señor"
"Paco Tapia","Paco Tapia & Kids","En Busca Del Tesoro"
Litio,BiPolar,"Jinete Tuerto"
Litio,BiPolar,"Zapatos Viejos"
Litio,BiPolar,Acabado
Litio,BiPolar,Excusas
Litio,BiPolar,"Déjame Respirar"
"Baby Brazy","Latina Sensual","Latina Sensual"
"Baby Brazy","Si Nos Envolucramos","Si Nos Envolucramos"
"Represion 24Horas",Indestruktibles,Pres.o.s
"Represion 24Horas",Indestruktibles,Mordazas
"Represion 24Horas",Indestruktibles,"Un Solo Sentimiento"
Blackone,"Manos en el Aire","Manos en el Aire"
Blackone,Mañanera,Mañanera
"De Santo Nada","Ninguna Deuda","Ninguna Deuda"
"De Santo Nada",Embrujo,Embrujo
Blackone,"Pa Que Sea Seria","Pa Que Sea Seria"
"Jorge Lazcano",Básico,"Por Si Quieres Volver"
"Jorge Lazcano",Básico,"El Juego Que Debes Jugar"
"Jorge Lazcano",Básico,"Despues De Ti"
"Jorge Lazcano",Básico,"Always You"
"Jorge Lazcano",Básico,"La Cucaracha"
"Jorge Lazcano",Básico,"Vodka Y Ron"
"Jorge Lazcano",Básico,"Mirame, Escuchame"
"Jorge Lazcano",Básico,"Es Una Estrella"
"Jorge Lazcano",Básico,"Quisiera Darte Un Beso"
"Jorge Lazcano",Básico,"Tu Me Miras"
"Jorge Lazcano",Básico,"La Princesa Ya No Quiere Llorar"
"Jorge Lazcano",Básico,"Volverte a Ver"
"Jorge Lazcano",Básico,"Hoy Te Vas"
"Jorge Lazcano",Básico,Nostalgia
"Jorge Lazcano",Básico,"Bella De Noche"
"Jorge Lazcano",Básico,"Ojos De Miel "
"Esclavos ","Sin Apoyo","A La Chingada La Tristeza a La Chingada El Sufrimiento"
"Esclavos ","Sin Apoyo","De Culeros a Culeros "
"Esclavos ","Sin Apoyo","Mundo De Cerdos Humanos "
"Alta Frecuencia","Aveja Miope","Aveja Miope"
"Orquesta D'Laye","Son Tantas Cosas","Son Tantas Cosas"
"Vito Maria Bassi","Viaggio Nel Tempo","Le Rose"
"Vito Maria Bassi","Viaggio Nel Tempo","Quel Viaggio"
"Vito Maria Bassi","Viaggio Nel Tempo",Spacephotogram
"Vito Maria Bassi","Viaggio Nel Tempo",Incontri
"Vito Maria Bassi","Viaggio Nel Tempo",Lei
"Vito Maria Bassi","Viaggio Nel Tempo",l'Attesa
"Angel Diaz Estrada","Adiestrando Zombies","Tu Aroma Bastara "
"Angel Diaz Estrada","Adiestrando Zombies",Pretendes
"Angel Diaz Estrada","Adiestrando Zombies","En Remolinos"
"Angel Diaz Estrada","Adiestrando Zombies","El Rito"
"Angel Diaz Estrada","Adiestrando Zombies","Nutshell "
"Marcos De Luca","Mark Into The Woods","La Diosa De La Luna Gran Diosa"
"Marcos De Luca","Mark Into The Woods","Las Montaas De Tu Piel"
"Marcos De Luca","Mark Into The Woods","Tema De Willy"
"Marcos De Luca","Mark Into The Woods","Lejana Paz"
"Marcos De Luca","Mark Into The Woods","Arenas Verdes"
"Marcos De Luca","Mark Into The Woods","Amor Lunar"
"Marcos De Luca","Mark Into The Woods","Fantasa Gitana"
