artist_name,release_name,song_name
"Chaturya Akhila","Pehla Pyaar Ke Liye Ee Gaana","Pehla Pyaar Ke Liye Ee Gaana"
Ashish,"Itni Gehrai","Itni Gehrai"
"Valmik vyas","Ram Navmi Special ","Ram Navmi Special"
"Ramjilal Gautam",Videh,Videh
"Dev Sharma","Lo Safar","Lo Safar"
"Sandeep Sahu","Teri Yaad","Teri Yaad - Feat. Sandeep Sahu | Pravin Gupta"
"Sandeep Sahu","Teri Yaad","Teri Yaad - Feat. Sandeep Sahu | Pravin Gupta"
R1k,"Let's Pretend","Let's Pretend"
"Rashid Khan ","Rk Kaithwadiya ","Rk Kaithwadiya"
"Swarali Shirodkar","Filhaal Reloaded","Filhaal Reloaded"
"Swarali Shirodkar","Naach Meri Rani Reloaded","Naach Meri Raani Reloaded"
"Swarali Shirodkar","Teri Ban Jaungi ","Teri Ban Jaungi "
"Jainesh V","Tumhi Aana","Tumhi Aana"
"Db Music",Prarambh,Prarambh
"Archit Shukla","My Original Cover Songs","Na Tum Rahe Tum"
"Archit Shukla","My Original Cover Songs","Tay Hain"
"Archit Shukla","My Original Cover Songs","Kishore Kumar Medley Shukla"
"Archit Shukla","My Original Cover Songs","Kishore Kumar Amit Kumar Medley Sung Shukla 256kbps"
"Archit Shukla","My Original Cover Songs","Bollywood Medley Part - 2 Shukla 256kbps"
"Archit Shukla","My Original Cover Songs","Bollywood Medley Part 1 Shukla"
"Archit Shukla","My Original Cover Songs","Badtameez Shukla 320kbps"
"Ramjilal Gautam","Tum Chaho Ya Na Chaho","Tum Chaho Ya Na Chaho"
"Archit Shukla","My Raw Vocals Cover Songs","Apna Mujhe Tu Laga by A"
"Archit Shukla","My Raw Vocals Cover Songs","Rula Diya by A"
"Littile Pardhaan","Dena Sath","Dena Sath"
"Chinmay Sonu","Pehle Jaise","Pehle Jaise"
"Samuel Ziegan Paul G","Hum Gaaye Hosanna","Hum Gaaye Hosanna"
"Shivansh Singh","Big Life","Big Life"
"Vedaant Verma & Aamir Tajar","Kalank Title Track Recreated ","Kalank Title Track Recreated "
Rantac,"No Need",Rewind
Rantac,"No Need",Bahana
Rantac,"No Need","Ankhai Hai Nam"
"Dilip Kamta","लाडी खेले वों सुरूत फूल खेले ","लाडी खेले वों सुरूत फूल खेले "
"Jainesh V","Yehi Toh College Hai","Yehi Toh College Hai"
Aayush,Deadlock,Deadlock
"Gaurav Talreja","Pehli Nazar Mein","Pehli Nazar Mein"
JSN,Blaze,Blaze
Faridkot,"Man of All Seasons","Man of All Seasons"
"Nilesh Purohit","Love You","Love You"
"Janak Limbachia",Tasveer,Tasveer
"Flop Singer13","Dr. Abhishek Sharma","Dr. Abhishek Sharma"
"Deep Joshi","Hasdi Reha Kar","Hasdi Reha Kar"
"Zoro Rapper","Teri Yaande","Teri Yaande"
"Swarali Shirodkar","Jo Bheji Thi Duaa","Jo Bheji Thi Dua"
Amiruff,Zindagi,Zindagi
"Rajesh Vinchurkar","Sama Hai Suhana Suhana","Sama Hai Suhana Suhana"
"Kun Faya Kun","Kun Faya Kun (Slowed and Reverb)","Kun Faya Kun (Slowed and Reverb)"
"Sayan Dey","Reh Jaao Na","Reh Jaao Na"
"Zenon ","Aa Gya Mein","Aa Gya Mein"
"Jatin Prajapat","COVERED SONG ALBUM",Pinch
"Jatin Prajapat","COVERED SONG ALBUM",Bholenath
Ujjwxl,Freeverse,Freeverse
Azehell,Jawaab,"Jawaab hai"
"Vibe Changer","Zara Zara Student Anthem","Zara Zara Student Athem"
"Vansh Udaywal","Dil Diyaan Gallan","Dil Diyaan Gallan"
"Rahul Singhaniya","Kan Ma Dable Jhumka Return Ma Mare Thumka ","Kan Ma Dable Jhumka Return Ma Mare Thumka"
Surade,"Aao Naa Lofi ","Aao Na Lofi "
"Yung Kat","Na Jaane","Na Jaane"
"Dushyanta and Aman","Janne Kyon...","Janne Kyon... "
"Kuxh Beats","Woh Lamhe Lo-Fi Mix","Woh Lamhe Lo-Fi Mix"
"Vipstar Arya","Prithibi Hariye Galo","Prithibi Hariye Galo"
"Tejas Kshirsagar & Ankita Shinde","Old vs New Mashup","Old vs New Mashup"
"Mika Singh","Tum Par Hum Hai Atke","Tum Par Hum Hai Atke"
"Lil Dassy",Mauka,Mauka
Fc_AkkU,"No Retake","No Retake"
Hassa,"Ladka Awara","Ladka Awara"
"Ashay Srivastav ",Tanha,Tanha
"Diksha Chaubey","Walking Home","Tum Hi Aana"
"Diksha Chaubey","Walking Home","Tujhe Kaise Pata Na Chala"
"Diksha Chaubey","Walking Home","Teardrops on My Guitar"
"Diksha Chaubey","Walking Home",Sawariya
"Diksha Chaubey","Walking Home","One Day"
"Diksha Chaubey","Walking Home","Mera Mann"
"Diksha Chaubey","Walking Home","Pretty Girl"
"Diksha Chaubey","Walking Home",Older
"Diksha Chaubey","Walking Home","Mann Bharyaa"
"Diksha Chaubey","Walking Home",Laadki
"Diksha Chaubey","Walking Home","Kho Gaye Hum Kahan"
"Diksha Chaubey","Walking Home",Jogi
"Diksha Chaubey","Walking Home","Illicit Affairs"
"Diksha Chaubey","Walking Home",Heather
"Diksha Chaubey","Walking Home","I Can't Help Falling in Love with You"
"Diksha Chaubey","Walking Home",Heer
"Diksha Chaubey","Walking Home",Epiphany
"Diksha Chaubey","Walking Home","Ek Ajnabee Haseena"
"Diksha Chaubey","Walking Home",Coffee
"Saksham Group Official","Indian Musical Instruments","Indian Musical Instruments"
Aver,"Chali Aa","Chali Aa"
"Lil Dassy",Brahmaand,Brahmaand
Ujjwxl,"Take Me Away","Take Me Away"
"Vinayak Singh","Desi Chhori Maar Dalegi","Desi Chhori Maar Dalegi"
Ayuxh,Filam,Filam
"Kuxh Beats","Atit 90's Ka Kid","Atit 90's Ka Kid"
"Tejas Kshirsagar & Ankita Shinde","Old VS New Mashup 2021","Old vs New Mashup"
"Herry Patel","Yaara Teri Yaari Mai Daag","Yaara Teri Yaari Mai Daag"
"Kuxh Beats","Khamoshiya - Lo-Fi Mix","Khamoshiya - Lo-Fi Mix"
"Kriti Singh",Piya-Re,Piya-Re
"Sv Ninja","PATLI KAMAR","PATLI KAMAR BY $V NINJA"
"Rayan Mohammed","Aaja Na ","Aaja Na "
"Purvansh & Saransh","Vr Edictors","Vr Edictors"
"Victor anom",Life,Conversation
"Victor anom",Life,Kohram
"Victor anom",Life,"Fighting with Life 2"
"Victor anom",Life,Mehbooba
"Dj Mayank","Top Tucker-Tapori Mix","Top Tucker  - Dj Mayank X Dj Aakash"
"Roshini & Peeyush","Holi Main Aaye Bhake Bihari","Holi Main Aaye Bhake Bihari"
"Gurudayal ","Bhavo Ki Barish Main","Bhavo Ki Barish Main"
"Mr. Riz","She Must Be My Ganja","She Must Be My Ganja"
"Shiraz Ali Khan","Payaliya Jhankar","Payaliya Jhankar"
"Swarali Shirodkar","Jahan Tu Chala ","Jahan Tu Chala"
"Dj ManDeeo Ladania","Lockdown Hoya Mera Gaam Sunle","Lockdown Hoya Mera Gaam Sunle 2 "
"Anukalp Jha","Baby Teri Nazre Hai Fire","Baby Teri Nazre Hai Fire"
"Mr. Riz","Lights Off","Lights Off"
"Mr Jaeger Dire",Satya,Satya
Bhuvaneshwari,"Rang Mat Koliye","Rang Math Kholiye"
"Nusrat Fateh Ali Khan","Sochta Hun","Sochta Hu"
"Dj Cyonk","After Breakup Ep","Is Qadar"
"Dj Cyonk","After Breakup Ep",Filhaal
"Dj Cyonk","After Breakup Ep","Baarish Ki Jaaye"
"Smaker Xpa Phadi Thug Solo",J.H.O.L,J.H.O.L
"Jainesh V","Chaha Hai Tujhko ","Chaha Hai Tujhko"
"Jainesh V","Main Chahta Hoon Tujhko","Main Chahta Hoon Tujhko"
"Rithik Meena ","Life Ka Route ","Life Ka Route"
"Mr Bittu Official","Soch ","Soch "
Z-0I,"Marwei ",Marwei
"Kix Owais",Talab,Talab
"Midnight Vibes x HIMANXU x 3AM Vibes","Zaalima Lofi ","Zaalima Lofi"
Mansi,"Honsala Na Chod","Hosla Na Chod"
Aakshar,"Fake Friends","Fake Friends"
"Parikshit Singh","Mujhe Yeh Toh Bata","Mujhe Yeh Toh Bata"
"Sv Ninja","Hard Mera Flow","Hard Mera Flow"
Mansi,"Hosla Na Chod","Hosla Na Chod"
Unknown,Aspirant,Aspirant
"Sachet Tandon","Tere Jeya Hor Disda X Meera Ke Prabhu Short","Tere Jeya Hor Disda X Meera Ke Prabhu"
"Harsh Sain ","Sudhar Ja (Warning) ","Sudhar Ja (Warning) "
"Kuxh Beats","Falak Tak (Lo-Fi Mix)","Falak Tak (Lo-Fi Mix)"
"Md. Jahid Hasan Pintu",Uddipona,"Tera Mera Cover"
"Kix Owais","Pyaar Sikha De","Pyaar Sikha De"
"DJ AMIT JHANSI","Tiger Shroff Dialog Dj Remix","Tiger Shroff King of Dialog #Luckydj Dj Amit Baaghi 3 Dialogue Mix"
"Rapstar MJ","Sab Ka Shukriya EP","No Fcuk"
"Rapstar MJ","Sab Ka Shukriya EP","Memories "
"Rapstar MJ","Sab Ka Shukriya EP","Sab Ka Shukriyaa"
"Rapstar MJ","Sab Ka Shukriya EP","Sab Theek Hai"
"Rapstar MJ","Sab Ka Shukriya EP","Wake up"
"Dj Bombastic","Main Tera - Kalank (Bombastic Flip)","Main Tera - Kalank (Bombastic Flip)"
Gehrat,Kalam,Kalam
"Shaurya Jha","Doob Gaye","Doob Gaye    "
"Vrr Sutra",Himalaya,Himalaya
"Kritiman Mishra","Mard Hai","Mard Hai"
"Monu Music India","Aai Shaguno Ki Ghadiya","Aai Shaguno Ki Ghadiya"
"Raja Pantha","Aadivasi Poyra","Aadivasi Poyra "
"Monu Music India","Yaadon Ki Baarat (Female)","Yaadon Ki Baarat (Female)"
"Monu Music India","Jo Tera Howega","Jo Tera Howega"
Aakshar,"Kyu Na Tum","Kyu Na Tum"
"Raja Pantha","Aadivasi Poyra","Aadivasi Poyra"
Piyuxh,"Challi Jaa","Challi Jaa"
"Kritiman Mishra","Tum Se Alag","Tum Se Alag"
Aakshar,"Dark Vibe (Scars)","Dark Vibe (Scars)"
"Peepal Farm","Imagine - Hindi Cover",Imagine
"Suraj Verma ","Meri Raani","Meri Raani"
"Zoro Rapper Ft Abhijeet kharad","Naam Bana Hai","Naam Bana Hai"
"Zoro Rapper Ft Abhijeet kharad","My Life Story","My Life Story"
"Syed Kamran",Silsila,"Silsila "
"Suraj Verma","Kar Do Na Setting","Kar Do Na Setting"
"Monu Music India",Mahiya,Mahiya
"Vishal Tambe","Dushman Hai Sare ","Dushman Hai Sare "
"Mr Bittu Official","Mera Bhai","Mera Bhai"
"Vishal Tambe","Adhure Hai Hum Tum ","Adhure Hai Hum Tum"
Akshita,Lo[ve]fi,Lo[ve]fi
"Vishal Tambe","Saath Nahi Tera","Saath Nahi Tera"
"Aamir & Garima Chauhan","O Meri Janiya Aamir Garima Chauhan Ankita Sinha","O Meri Jaaniya  Music  Aamir  Garima Chouhan Ankita Sinha"
Jai/Shaayar,Sapne,Sapne
"Lalita Bhal","Pal Pal Chal Badalte Ho","Pal Pal Chal Badalte Ho"
"Dhanraj Saini","Jana Fauj Mein (Indian Army Song) ","Jana Fauj Mein (Indian Army Song) "
Gehrat,"Aankh Mai Umeed","Aankh Mai Umeed"
Gehrat,"Aankh Mai Umeed",
"Zoro Rapper Official","Naam Bana Hai","Naam Bana Hai"
"Shiraz Ali Khan","Aji Huna Bhejiyo Patiya","Aji Huna Bhejiyo Patiya"
"Deepak Maithil","School Ka Pyaar","School Ka Pyaar"
"Peepal Farm","Gully Goat","Gully Goat"
"Rakesh Kumar Srivastav","Ek Ajnabi Sa | Cover by - Rakesh Kumar Srivastav | a.s Production.","Ek Ajnabi Saa | f.t Rakesh Kumar Srivastav | a.s Production"
"Littile Pardhaan","Tere Shiva","Tere Shiva"
"Monu Music India",Saraswatichandra,Saraswatichandra
"Kritiman Mishra",Kalakaar,Kalakaar
"Raja Pantha","Jaile Jaile Aadivasi Rap","Jaile Jaile Aadivasi Rap"
Aakshar,"Kyu Na Tum","Kyu Na Tum"
Aakshar,"Scars ",Aevideotoaudio1621719058075
Ashvrm,Banjara,Banjara
"Dj Mayank","Poyri Rongali Bend Style","Poyri Rongali Bend Style"
"Shahid Ramzan","Likhe Jo Khat","Likhe Jo Khat"
"Kritiman Mishra","Kaun Tuje","Kaun Tuje"
Salem,"Salem Gang","Salem Gang"
